id	text	annotation
51592	@USER John Podesta is a spirit cooking pedo. Here's a photo of him and Valerie Jarrett in a rather compromising situation.  #MAGA #qanon #DrainTheDeepState #DrainTheSwamp URL	IND
56068	@USER I love the way this pisses off liberals. URL	GRP
88585	@USER @USER @USER My auto correct Gggrrr she is a *crazy witch*	GRP
14234	"@USER @USER When I turned the speech on it sounded to me like Liberals becoming another nasty party"" with his personal attacks on various individuals."""	GRP
97329	@USER Another negative Democrat who refuses to disappear!	IND
85409	.@USER As my elected MP could you please explain why @USER is still promoting ideas that the EU have already rejected? We've 6 months to go and nothing appears to be moving onward. @USER are like the blind leading the blind #brexitshambles #BrexitMeansBrexit URL	GRP
14118	@USER So she can’t be effected by the radiation but killed. I hope he mentions Lady Gaga witch. Since she is the only known immortal witch and supreme	IND
63792	(2020 election season)  Trump: my dick is the most magnificent dick. Just tremendous.   Leftists: prove it you Russian puppet!  Trump: *whips dick out in fit of senility*  Conservatives: *vote Trump to victory*	IND
82293	@USER @USER @USER @USER Interesting when Demoncraps aren't even inventive enough to create their own cartoons.  This is originally put out by Republicans - liberals are the Koolaide drinkers and always have been. Liberals are also the scum of the earth and prove it daily through their lies	GRP
61533	@USER ajsjjsjdkkdjdk i want him so much he’d literally tell me to die and i’d obey him	GRP
40857	@USER @USER @USER @USER He’s dead. So you are a necrophiliac as well? Good to know...you must suck at chess never mind 3 dimensional chess...you can’t even think one move ahead let alone many...Change your twitter handle to DumbAF not even ish🙄🙄🙄	IND
23228	"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER They get testy and decide you're a paid shill"" a lot, if you end up hanging around QAnon you'll get used to it."""	GRP
78473	@USER @USER @USER Trump is a very sick man. He is toxic and mean spirited.	IND
30890	#VA10 voters know @USER is the right side of the gun issue. Gun control or gun rights? The answer may help determine whether NRA-financed Rep. Comstock wins reelection URL	GRP
92935	@USER #oshaeterry #ThugLife #Criminal Behaved as an Ordinary Disposable Criminal. #MAGA #MAGA2020 #MAGARallyRules #TexasPolice	IND
86626	@USER @USER She is full of bunk.	IND
18702	@USER Hell did they boycott McEnroe.....this is too much!!	IND
78567	@USER IM GOING HARDCORE BITCH	IND
80107	@USER I used to do signifing monkey by heart. Played it for the wife and she is like what the hell?	IND
84294	@USER I think she is the one mad.  She didnt like being called out so she is trying to make them bully me. 😆	IND
53037	@USER @USER @USER so she is disgusting to you because she is a Rangers fan! you are disgusting to me because you support breaking up the union!  #proudtobeBritish 🇬🇧	IND
10605	@USER They should. Hopefully voters will realise that they could have ended this shitshow well before the midterms.	GRP
93280	@USER @USER @USER i think i missed a few replies here (im on a conference call) but most of the anti jihadi muslim vets i know would disagree with gun control. so this seems odd...?	IND
97831	@USER Look at all these racist white liberals freaking out because I said Tom Arnold has white privileged.	GRP
82366	@USER Hubby rushed me *shakes fist* will flick a pic thru this evening when I feed em again. By the way he is still the boss	IND
70315	@USER @USER OMG !!!! Really !!! #FrankOz ... Liberals ruins Everything ... #DefundPBS..	GRP
83457	@USER @USER Wow!!! Never thought I'd see the left actually admitting they want to shut down free speech unless it's their own. At least they are admitting they are the  facist. After all they did create the 2 most facist groups...ANTIFA and KKK.	GRP
14877	@USER Rip lmao who knows 😂 that's why I'm trying so hard not to expose my shits since they can't never relate anyway	IND
33095	@USER Awful	OTH
50390	@USER I don't know anything about the kkk although I believe the democrats fund them like they always did.  I think the Dems main terror group these days is antifa.	GRP
38444	@USER @USER @USER She is absolutely useless. Everyone knows it except for her and the media.	IND
77647	@USER Does anyone care what that dirtbag says???	IND
30426	@USER @USER NOT A SNOWBALLS CHANCE IN HELL DIMWIT DEM. Start taking losing like a man.....err...like a....uhm? Whatever you identify as today. WE WILL #MAGA NOT TIRED OF #WINNING SEE YOU IN NOVEMBER FOR THE #REDWAVERISING2018 YOU CAN'T STOP #ScotusKavenaugh	IND
38806	@USER Hopefully your obesity catches up with you by then	IND
36795	@USER       Thank you for your fortitude and perseverance. Please give McConnell a kick in the butt from some of us conservatives.	IND
21223	@USER YESSSSSHHHHH who else call you shitgull if it were not me or ryme 😚	IND
25469	@USER She’s one of those ‘kooky’ liberals.	IND
74815	@USER Like if you didn’t get fired from ESPN	IND
67895	@USER those students not traumatised by having live shooter drills or distracted by fear of being killed at school are already doing their best. Send YOUR kid to one of those schools and we might get some action on gun control. Hypocrite.	IND
99912	@USER @USER Poor sad liberals. No hope for them.	GRP
69106	I got more common sense than all of my followers  :)	GRP
47490	@USER CBS sez CEO Leslie Moonves' out on his ass after several allegations he was chasing ass... COO Joseph Iannello will be interim CEO until somebody accuses him of the same thing... This 'shit' never ends... Ooops...	IND
77519	@USER Even if the devil did make every single one of those priests rape children... Why does the pope refuse to condemn it? Why didn't he remove from leadership the rapist brought to him?	OTH
20232	@USER I didn’t tweet this lol I needa get my Twitter off this shit	IND
32990	@USER She is.  Ur screwed.  Trump owns scotus and he will exact a wrath upon enemies after the midterms	IND
64626	@USER Then HAUL YOUR FAT ASS IN HARMS WAY YOU DRUGGIE!!!	IND
39729	@USER @USER Anyone can say or write anything about themselves. Suppose tomorrow she says that she is a prophet and human race needs to follow her.  What does that tell about her ?  Once I see someone as useless moron I stop giving them any attention. You do the same brother. She is nobody.	IND
93056	@USER @USER He is delirious!	IND
32139	@USER Rezz is a dumb bitch who will get a rude awakening from BNF in Mexico lol URL	IND
59690	Alert: Candace Owens Was Just Attacked By Antifa URL	IND
23311	@USER Another dumbass Democrat. One thing you have to say about this president is he’s not lazy. Another bullshit story as usual	GRP
33600	@USER @USER when robyn posts a selfie the world stops for a moment to appreciate it	IND
79122	@USER @USER @USER The Democrats are so desperate all those ppl threatening Sen Collins are from CA. They will do anything to delay or halt confirmation and @USER re-election is on the line she is desperate. The ppl &amp; GOP are quite aware of what is going on.	GRP
58576	@USER So it moves forward. Damn the facts as long as you keep up the narrative! The Dangerous line is the sliding scale line that you bunch of liberal idiots use to vilify Conservatives or justify the actions of liberals	GRP
70525	@USER Poor Baby.  This is why you and your entire network CAN NOT be trusted.    The only people still watching CNN are brainwashed liberals and demonrats. URL	GRP
69004	@USER @USER (She is clearly agitated in a defensive stance) Shit- what is she doing here	IND
28518	@USER Then your gonna get bitten	IND
77529	@USER Woodword's book is slander.  He is nothing but a Clown Tool!	IND
25305	@USER It appears to be paired with a WOO-HOO so he must think he is on his way to a brothel.	IND
70652	@USER @USER @USER She is mentally unstable.	IND
60071	@USER Character and Clinton. Cartoon maybe	IND
12602	@USER @USER @USER @USER @USER @USER @USER @USER @USER I like that they aren't mincing around with her. I do not understand why she is denying doing porn.	IND
35933	"@USER @USER @USER @USER @USER FEMA has contacted the Senator and was told.its a TV hit you take them when you can"" He Is a liar.  If he had a set... he would put on his big girl panties and tell the truth!"""	IND
66631	@USER But I thought Antifa were actually fascists but this shows Rethuglicans are the actual fascists in the room.	GRP
70446	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER So absurd.  The left has been fielding violent feminists and communists in the form of Antifa to attack the very peaceful transition of power for more than two years.    I wonder if it will ever occur to you that you are the bad guys?  I doubt you have the moral fortitude.	GRP
26783	Anyone surprised? @USER  #CloserNation  #MAGA #QAnon URL	OTH
49939	@USER Not if you are from Wisconsin. And it’s a bubbler. And duck duck goose.	IND
23818	"@USER Good liberals will allow a rapist"" to continue serving on a federal district court while his victim continues to suffer?    But...you said....you said...."""	IND
35823	@USER Then why are you pretending to be something your not???You are a phony and all your lies won't change that!	IND
36639	@USER She mocked SJWs and the KKK with extremely clever satire. The fact you don’t have a sense of humor or are too stupid to get it is our fault. None of that means you get to denigrate or lie about her or her motives. She is a Native American woman and you are a bigoted misogynist.	IND
35959	@USER @USER @USER Are you saying he is a turkey chocker 😶	IND
14239	@USER @USER Such delusional liberals..! So twisted with hate you can't even acknowledge the U.S. Airforce..!!	OTH
94756	@USER damn what i would do to be able to eat that pussy	IND
90701	@USER What exactly is it about Willy that anyone with half a brain would consider conservative?   The guy is literally a poster child for Liberals	IND
20770	@USER @USER Queen Of Rap 😛 Other Bitches can knot relate	IND
77620	@USER So a pathological liar is going to give the Judge a lecture on credibility because the judge won’t admit to something he didn’t do...   and we are the stupid ones.... 😳   And liberals have no shame in the ignorance of their elected representatives.	IND
21734	@USER BITCH	IND
57625	@USER If Jamie Oliver fucks with my £3 meal deals at Tesco I’ll kill the cunt	IND
40567	@USER I CARE THAT HE WAS MURDERED. I don't care whether he had some weed in his home (like a whole lot of Americans do) any more than I'd care if you said he had 100 pairs of socks. He is the victim. You are trying to smear the victim. You are despicable.	IND
32074	@USER @USER @USER I should wash your mouth out with soap for saying that! I have the utmost respect and admiration for our cops. I don’t have that for dirt bags who would break into my home.  Gun control means a steady hand not an empty one. Go talk to Antifa buddies about being a drain	IND
17811	@USER HE IS A RUSSIAN SPY /HAVE RECEIVED MUCH MONEY FROM PUTIN.	IND
39492	@USER @USER Well he's a liberal so that explains it. Who knows the shooter may be a liberal as far as he knows. Liberals are very hateful violent people and must be defeated!	GRP
40412	@USER @USER No news. orgs. are giving Faith Goldy the time of day. That's simply wrong. She may not have the experience of the other two useless fools but she cares and she is no one's fool.	GRP
71929	@USER i just gave Beto $100 and you all should as well.  Trump called Ted's wife ugly and he is still licking his boots for help with reelection.	IND
35524	Was this a threat from @USER #DangerousDemocrats #maga URL	OTH
66579	@USER @USER Liberals cannot imagine a circumstance where they are forced to defend themselves or their family from violence.  They imagine such an eventuality to be beyond the realm of possibility and they foolishly believe that the police will arrive quickly enough to save them.	OTH
58523	@USER Let me borrow yo shit first 🤣	IND
66864	@USER WOW!  That lie'n bitch is at it again. URL	IND
24298	@USER Stfu bitch lol why u Salty I’m tryna get twitter famous ya know	IND
43335	@USER ...@USER is 100% correct and should be applauded for criticizing our inept and corrupt President - not denounced for it.....@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER	GRP
46678	@USER You turn a dull Tuesday night into a super sexy one! So hot! 🔥🔥🔥	IND
47804	@USER But not as despicable as her own.	IND
49896	@USER @USER Without question Professor Ford is troubled that's being polite. Half the women in the world (probably more) have been groped at one time or an other  and don't hold on to it for 40 years. This is obviously a political ploy to deter scotus confirmation. @USER #MAGA	IND
52906	@USER @USER He is both evil and delusional. He eats those high quality paint chips.	IND
12295	@USER @USER shut that wanker up	IND
20235	@USER @USER She’ll have a total mental breakdown when he is re-elected!!!!	IND
90247	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER that is about the saddest existence I have ever been privy to reading. Sucks to be you man	IND
89795	@USER So... Did Angela hook up with a younger guy so she has someone to wipe her butt when she is 75?	IND
86958	@USER Good!!! This will surely show us how croocked he is. 😂😂😂	IND
89600	@USER @USER @USER @USER @USER @USER @USER Exactly Hat @USER  are true Feckers ! I detest them	GRP
27161	@USER Sam was singing and they DiDNT tell her to stop singing and she thanked them!! Unbelievable!!! Who the hell is she talking to?! It's bad enough when she is talking to one of the houseguest !! But to keep talking to herself! Wonder what her family think about her going nuts!	IND
65915	@USER  I think he could be called a turncoat  talking out of both sides of his fucking mouth  Lindsey Graham can no longer be trusted URL	IND
82618	@USER @USER @USER @USER Oh boo you sound so ignorant with your words. We are on Top. All of America is on Top now. How about stop resisting and try to help make our nation the best for everyone not just liberals. Wake up and Walk Away.	GRP
90997	@USER Sucks	IND
63005	@USER Fuckkk 😂😂 I know I seen bitch that’s a slapper lmao	IND
16105	@USER @USER Lefty Pope should also! He is Not worthy rep for true christian roman catholics!! He failed his flock!	IND
89453	@USER And honestly it’s ridiculous.. you are grocery shopping there is no need to be like That	IND
22946	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Little known fact Balaam raced donkeys and gambled on races. One day his fastest ass was winning the Jerusalem sweepstakes. And right before the finish the ass lost control running over a Samaritan and two Africans . Local antifa saw the whole thing and blamed the fastest ass!	GRP
88594	@USER It's been up since Sunday night. He is a sloth.	IND
53551	@USER @USER Bitch shut up he building his self esteem	IND
46987	#USA #UK and probably #Europe and #Australia  With their level of intelligence?  Weez all stoopid y'all!  #MAGA #MEGA #MBGA #MCGA #Conservatives #Patriots #Celebrities URL	GRP
97760	@USER When are the Republicans going to learn that Democrats hate conservatives .Vote  Thursday	OTH
81704	@USER @USER Isn’t that the Amazon bitch from Antifa?	IND
57305	@USER @USER @USER @USER @USER @USER @USER Lie about what? Certainly not about you throwing gun control &amp; accountability out the window once an illegal is involved.  And “a” hollering? Are you seeing shit AND hearing voices?	IND
87737	@USER Just one more proof that the dnc hates the cosnstitution. this is exactly what pres. Washington warned us of in his farwell address. the dnc hates the constitution because it stands in the way of their totalitarain agenda. maybe that i why they push both socialism and gun control	GRP
50771	@USER He is a beast	IND
60966	You you have committed so many crimes. No care what a liar has to say. You belong in prison. #MAGA URL	IND
45019	@USER HAHAHAHA omg these people. They thought they would have their way FOREVER.  Idiots	GRP
84724	@USER Fool on the Hill !	IND
98631	@USER Why of course. Liberals reject truth and accept falsehoods. That's why they don't believe Kanaugh and believe Ellison.	GRP
16691	@USER @USER the nose distracts from the news	IND
56181	@USER Thank you Ms Desanctis! I'm comforted that not all conservatives are letting their ambition blind their conscience. Sexual assault/harassment has been a plague on society for centuries - that should NOT make it a conservative or traditionalist cause!	GRP
96139	@USER You are TRIPPIN. Stop jumping to conclusions.	IND
71104	@USER This sicko thinks that others scheme and lie like he and a lot of the liberals do. Remember Rham Emanuel’s famous quote “You never let a serious crisis go to waste”	IND
11020	@USER 2 battering rams used by liberals; sex &amp; racism. It is sinister &amp; desperate #BeneathHumanity	OTH
49326	@USER Apparently this POS doesn’t know that Viacom bought out BET. It went from black ownership to white ownership🤣🤣🤣🤣🤣🤣	IND
32558	@USER Desperation! Abuse of my power cause he is losing his mind	OTH
43832	@USER Gonna be a bitch to re-write this one.	IND
86646	@USER I bet she`s had more prick`s than a second-hand pincushion! #MAGA 🇬🇧🇺🇸	IND
12223	@USER ANCIENT HOMIES COULDNT HAVE COCK COCKS FIGHTING BECAUSE THAT WAS LITERALLY ILLEGAL IN ATHENS FJSHDHJS	GRP
49452	@USER She is fucking delusional	IND
56645	@USER @USER @USER @USER Isn't it great how liberals ignore the pain of their victims because they are democrats.  It is really sick.	IND
92803	@USER No we can’t be losing AB he is literally our whole offense	IND
30471	@USER noticed you broke away as soon as the senate started talking about the great 4.2 growth rate and salary increases for employees.  Your station is so crooked!!!!   Also negative on the conservatives and praise the liberals!  #DrainTheDeepState #crookedmedia	GRP
93778	@USER You are an absolute dick 😡	IND
65422	@USER @USER @USER Well then I guess it's totally fine to attack his character then. My mistake. I mean what right does an American who was the victim of gun violence have to call for stricter gun control laws anyway?	IND
20413	@USER @USER Liberals act out of emotion. Not understanding the law. Then they go around condemning every1 who does not agree with their completely fucked rational. “Nobody believed women for 250 years. So let’s believe all women! Oh and screw the legal system! Men are pigs. He’s guilty!” Smh	GRP
24354	@USER He and Obama must be copying each other does any democrat have their own thought PLEASE !!!	GRP
74402	"@USER @USER @USER It wouldn't surprise me a bit. Just like they falsely call conservatives, Fascists"" and justify physically attacking them. ""Trump's a Nazi, kill him!"". It's just a matter of time before they suggest it."""	IND
19061	@USER Lol they have no idea Nazis were socialist. Their complete inability to grasp reality is so mind blowing. Antifa is no shit calling for a civil war to defend slavery. The confederacy considered Lincoln a fascist too... hmmmm.	GRP
86448	"@USER @USER Lol these are exciting times..."" God he is the worst"""	OTH
92949	Too bad life sucks 4 u #schiff4brains 😂 ur going down along wi ur other CRIMINAL friends. Only red line crossed is the LIES U TELL. U will never b anything more than the belly of a SNAKE #MAGA #TRUMP2020 #schiff4brains URL	IND
20729	"@USER @USER Let's focus on Kavanaugh. Bringing up other cases to make an argument about hypocrisy is irrelevant. It's like saying, Let's not investigate this bank robbery because liberals have robbed other banks."" Try to focus."""	GRP
